Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0.176	-8.2419024	-8.1676226	-35.006767	0.24609402
0.177	-8.1474524	-8.1867561	-34.841541	0.24767652
0.178	-8.1372957	-8.0741034	-35.005157	0.24417892
0.179	-8.2077847	-8.2105742	-35.202568	0.24795011
0.18	-8.2252369	-8.0824718	-35.020176	0.2460672
0.181	-8.1866484	-8.1896887	-35.166088	0.24396971
0.182	-8.0921278	-8.1733093	-35.140339	0.24839535
0.183	-8.2263098	-8.1340771	-35.180038	0.24330989
0.184	-8.2056742	-8.1632242	-35.148388	0.24627104
0.185	-8.1011038	-8.1781015	-35.299664	0.24773553
0.186	-8.1554995	-8.1057892	-35.204178	0.24602428
0.187	-8.2010612	-8.1816416	-35.268013	0.24364784
0.188	-8.1830368	-8.1621513	-34.8689	0.24403945
0.189	-8.172987	-8.1732731	-33.730572	0.24941459
0.19	-8.1552486	-8.1111536	-33.479515	0.24487093
0.191	-8.3172188	-8.0905542	-32.644814	0.24433449
0.192	-8.3166103	-8.1173048	-32.620136	0.24874941
0.193	-8.3980427	-8.0125914	-31.787043	0.24975792
0.194	-8.5648041	-7.9991083	-31.935637	0.24726346
0.195	-8.5203152	-7.9993587	-31.394903	0.24586335
0.196	-8.1837521	-8.0581532	-31.084841	0.24697915
0.197	-8.0362301	-8.1262093	-30.372446	0.24589017
0.198	-7.8766565	-8.009408	-29.134874	0.24480119
0.199	-7.4802976	-7.9923849	-29.318874	0.2490069
0.2	-7.1193795	-7.9713922	-28.751854	0.25031582
0.201	-7.0162396	-7.9513292	-27.291124	0.24812713
0.202	-7.2435837	-7.9829435	-26.189808	0.24569705
0.203	-7.3113184	-8.0172043	-26.861433	0.2508308
0.204	-7.3617439	-7.873867	-25.332039	0.24955943
0.205	-7.3947172	-7.893465	-25.126581	0.25074497
0.206	-7.9277616	-7.7532034	-24.120752	0.24513915
0.207	-8.7228041	-7.7736597	-23.247961	0.24936095
0.208	-9.5635872	-7.628427	-22.924488	0.24766579
0.209	-9.2739801	-7.7857833	-21.664923	0.25143698
0.21	-8.7397919	-7.8658562	-20.524446	0.24505332
0.211	-8.5860119	-7.9727154	-19.266491	0.24717227
0.212	-8.3075266	-8.0081568	-20.04755	0.24961308
0.213	-8.7597475	-7.7221613	-19.146328	0.24846509
0.214	-8.9748964	-7.7177267	-18.585209	0.24673238
0.215	-8.9927063	-7.5487475	-17.476921	0.25002077
0.216	-8.6189489	-7.6091151	-17.056351	0.25314823
0.217	-8.5295067	-7.4551206	-15.552168	0.2426447
0.218	-9.1556416	-7.3847752	-14.63378	0.2473332
0.219	-9.3554478	-7.4264746	-13.938014	0.25063768
0.22	-9.5227823	-7.5911622	-13.593082	0.25045529
0.221	-9.428154	-7.9110603	-12.737457	0.24641052
0.222	-9.448431	-7.7815275	-11.217718	0.25165692
0.223	-9.6976624	-7.6404791	-12.34961	0.25493458
0.224	-9.1266737	-7.9721074	-11.131351	0.25104001
